Name,ElementGroup,Difficulty,Event
Full support swing--Straight body--Parallel to bar--Both sides,1,0.0,PB
Swing--Handstand--No hold,1,0.0,PB
Shoulder Stand--2s,1,0.0,PB
Handstand--FWD Roll--Upper arm,1,0.0,PB
Front Toss--Upper arm,1,0.0,PB
Straddle 'L'--2s,1,0.0,PB
Straddle front support hold--Straight legs--2s,1,0.0,PB
Shoulder stand--FWD roll,1,0.0,PB
Tuck hold--2s,1,0.0,PB
Press handstand--No hold,1,0.0,PB
Full Upper Arm Swing--Straight body 45° < HOR--Both sides,2,0.0,PB
Back Uprise--Support,2,0.0,PB
Upper arm Pike--Cast FWD,2,0.0,PB
Upper arm support--Swing BWD--Shoulder stand--2s,2,0.0,PB
Upper arm--FWD roll,2,0.0,PB
Upper arm--BWD roll,2,0.0,PB
Tuck hold--Upper arm--2s,2,0.0,PB
Front uprise--Straddle front support hold--Straight legs on bar,2,0.0,PB
Full long hand swing--Straight body--45° < HOR--Both sides,3,0.0,PB
Full basket swing--Hips above bars--Both sides,3,0.0,PB
Bent leg Moy--Upper arm,3,0.0,PB
Glide kip--Upper arm,3,0.0,PB
Drop kip--Upper arm,3,0.0,PB
Drop kip--Support,3,0.0,PB
Giant--Upper arm,3,0.0,PB
Basket--Upper arm,3,0.0,PB
Straight leg Moy--Upper arm,3,0.0,PB
Long hang swing FWD--Straight legs--Straddle pull up--Upper arm--Legs straddled on bar,3,0.0,PB
Long hand swing BWD--Straight legs--Uprise pull up--Upper arm,3,0.0,PB
Glide kip--Straddle sit--Legs on rails,3,0.0,PB
Long hang swing FWD--Salto BWD--Tuck,4,0.0,PB
Support swing FWD--Salto BWD--Tuck,4,0.0,PB
Support swing BWD--Salto FWD--Tuck,4,0.0,PB
Wende--BWD Support swing--Thru HS--1/2 (180°) turn--Over one bar,4,0.0,PB
BWD Support Swing--Flank dismount,4,0.0,PB
Stutz dismount--FWD Support swing--1/2 (180°) turn--Over bar,4,0.0,PB
Giant swing--Thru support--Push off--No grip change,4,0.0,PB
Diamidov--One bar dismount,4,0.0,PB
Drop--From BWD swing,4,0.0,PB
Drop--From cast to dismount,4,0.0,PB
