Name,ElementGroup,Difficulty,Event
Hdspr. fwd. and salto fwd. t. w. 1/1 t. (Cuervo t. w. ½ t.).,1,3.2,VT
Hdspr. fwd. and salto fwd. t. w. 3/2 t. (Cuervo t. w. 1/1 t.). (Kroll),1,3.6,VT
Hdspr. fwd. and salto fwd. t. w. 2/1 t. (or Cuervo t. w. 3/2 t.). (Canbas) 4. 0,1,4.0,VT
Hdspr. fwd. and salto fwd. p. w. 1/1 t. (Cuervo p. w. ½ t.).,1,3.6,VT
Hdspr. fwd. and salto fwd. p. w. 3/2 t. (Cuervo p. w. 1/1 t.).,1,4.0,VT
Hdspr. fwd. and salto fwd. str. w. ½ t. (Cuervo str.).,1,4.0,VT
Hdspr. fwd. and salto fwd. str. w. 1/1 t. (Cuervo str. ½ t.).,1,4.4,VT
Hdspr. fwd. and salto fwd. str. w. 3/2 t. (Cuervo str. w. 1/1 t.). (Lou-Yun),1,4.8,VT
Hdspr. fwd. and salto fwd. str. w. 2/1 t. (Cuervo str. 3/2 t.).,1,5.2,VT
Handspring fwd. and salto fwd. str. w. 5/2 t. (Yeo 2),1,5.6,VT
Handspring fwd. and salto fwd. str. w. 3/1 t. (Yang Hak Seon),1,6.0,VT
Hdspr. sw. w. ¼ t. a. salto fwd. t. w. ½ t. or Tsuk. t. w. 1/1 t. (Kasamatsu),1,2.8,VT
Tsukahara t. w. 3/2 t.or Kasamatsu t. ½ t,1,3.2,VT
Tsukahara t. with 2/1 t. (Barbieri),1,3.6,VT
Tsukahara t. with 5/2 t. (Shirai 3),1,4.0,VT
Tsukahara str. w. 1/1 t. or Kasamatsu str.,1,4.0,VT
Kasamatsu str. with ½ t. or Tsukahara str. w. 3/2 t.,1,4.4,VT
Kasamatsu str. w. 1/1 t. or Tsukahara str. w. 2/1 t (Akopian),1,4.8,VT
Kasamatsu str. with 3/2 t. (Driggs),1,5.2,VT
Kasamatsu str. with 2/1 t. (López),1,5.6,VT
Kasamatsu str. with 5/2 t. or Tsukahara str. with 7/2 t. (Yonekura),1,6.0,VT
Hdspr. fwd. and salto fwd. p. w. ½ t. (Cuervo p.),1,3.2,VT
Forward handspring.,2,1.6,VT
Forward handspring with ½ t.,2,1.8,VT
Forward handspring with 1/1 t.,2,2.0,VT
Forward handspring with 3/2 t.,2,2.2,VT
Forward handspring with 2/1 t.,2,2.4,VT
Forward handspring with 5/2 t. (Tsygankov),2,2.6,VT
Handspring fwd. and salto fwd. tucked.,2,2.4,VT
Handspring fwd. and salto fwd. piked.,2,2.8,VT
Handspring fwd. and salto fwd. str.,2,3.6,VT
Handspring fwd. and dbl. salto fwd. t. (Roche),2,5.2,VT
Roche with ½ turn. (Dragulescu),2,5.6,VT
Handspring fwd. and salto fwd. t. w. ½ t. and salto bwd. t. (Zimmerman),2,5.6,VT
Handspring fwd. and dbl. salto fwd. piked. (Blanik),2,5.6,VT
Dragulescu piked. (RI Se Gwang 2),2,6.0,VT
Handspring sw. with ¼ t.,3,1.6,VT
Handspring sw. with 3/4 t.,3,1.8,VT
Handspring sw. with 5/4 t.,3,2.0,VT
Handspring sw. w. ¼ t. a. salto bwd. t. (Tsukahara),3,2.2,VT
Tsukahara piked.,3,2.4,VT
Tsukahara t. with ½ t.,3,2.4,VT
Tsukahara straight.,3,3.2,VT
Tsukahara str. with ½ t.,3,3.6,VT
Tsukahara with salto bwd. t. (Yeo),3,5.2,VT
Tsukahara with salto bwd. piked. (Lu Yu Fu),3,5.6,VT
Double Tsukahara with 1/1 twist. (Ri Se Gwang),3,6.0,VT
"Round off, handspring bwd.",4,1.6,VT
"Round off, handspring bwd. with ½ turn.",4,1.8,VT
"Round off, handspring bwd. with 1/1 turn.",4,2.0,VT
"Round off, hdspr. bwd. and salto bwd. t. (Yurchenko)",4,2.2,VT
Yurchenko t. with ½ t.,4,2.4,VT
Yurchenko t. with 1/1 t.,4,2.8,VT
Yurchenko t. with 3/2 t.,4,3.2,VT
Yurchenko t. with 2/1 t.,4,3.6,VT
