Name,ElementGroup,Difficulty,Direction
Round off,1,0.1,Forward
Sissone, 1,0.1, Forward
Hitch Kick,1,0.1,Forward
Swedish Fall,1,0.1,Forward
Press Headstand,1,0.1,Forward
Handstand No Hold,1,0.1,Forward
Bridge,1,0.1,Forward
Split Press,1,0.1,Forward
Handstand,1,0.1,Forward
Endo Roll,1,0.1,Forward
Straddle Jump,1,0.1,Forward
Pike Jump,1,0.1,Forward
Tuck Jump,1,0.1,Forward
Jump 1/2 or 1/1 turn,1,0.1,Forward
Arabesque,1,0.1,Forward
Candlestick,1,0.1,Forward
L-hold,1,0.1,Forward
Prone Fall,1,0.1,Forward
Straddle Pancake,1,0.1,Forward
